year,mo,da,temp,dewp,visib,wdsp,prcp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
2010,1,3,79.6,66.6,1.6,4.5,0,0,0,0,0,0,0
2010,1,3,69.6,45,2.8,4.5,0,0,0,0,0,0,0
2010,1,3,53.7,49.6,0.6,0,0,1,0,0,0,0,0
2010,1,3,53.2,48.5,0.5,1.1,0,1,0,0,0,0,0
2010,1,3,58.7,47.4,1.7,0,0,1,0,0,0,0,0
2010,1,3,61.7,54.8,0.9,0.4,0,0,0,0,0,0,0
2010,1,3,59.5,55.8,0.4,0.6,0,1,0,0,0,0,0
2010,1,3,62.1,45.3,2.5,0.6,0,0,0,0,0,0,0
2010,1,3,62.8,45.4,2.5,1.7,0,0,0,0,0,0,0
2010,1,3,81.6,75.4,4.3,1.6,0,0,0,0,0,0,0
2010,1,3,56.6,47.5,0.9,0,0,1,0,0,0,0,0
2010,1,3,77.9,69.4,4.3,1,0,0,0,0,0,0,0
2010,1,3,76.2,62.3,1.7,2.1,0,0,0,0,0,0,0
2010,1,3,60.7,37.4,2.5,0.5,0,0,0,0,0,0,0
2010,1,3,63.2,45.3,2.5,0,0,0,0,0,0,0,0
2010,1,3,69.7,57.8,2.5,4.9,0,0,0,0,0,0,0
2010,1,3,74.3,59.7,4.3,7.2,0,0,0,0,0,0,0
2010,1,3,71.8,59.9,2.3,0.5,0,0,0,0,0,0,0
2010,1,3,70.5,59.4,3.9,1.7,0,0,0,0,0,0,0
2010,1,3,53.3,48.4,0.6,2.8,0,1,0,0,0,0,0
2010,1,3,55.8,52.2,0.8,3.1,0.08,1,1,0,0,0,0
2010,1,3,67.5,54.9,4.3,3,0,1,0,0,0,0,0
2010,1,3,76,67.8,2.4,4.3,0,0,0,0,0,0,0
2010,1,3,68.4,48.2,2.5,1.2,0,0,0,0,0,0,0
2010,1,3,73.5,64.3,2.2,0,0,0,0,0,0,0,0
2010,1,3,54.5,51.1,0.5,0.8,0.02,1,0,0,0,0,0
2010,1,3,54,52,0.3,2.8,0.08,1,1,0,0,0,0
2010,1,3,59.9,53.8,1.7,0.5,0.02,0,0,0,0,0,0
2010,1,3,80.5,70.1,3.4,3.3,0,0,0,0,0,0,0
2010,1,3,52,45.7,0.7,2.1,0,1,0,0,0,0,0
2010,1,3,64.5,45.2,2.3,0,0,0,0,0,0,0,0
2010,1,3,76.5,55.7,4.3,0.7,0,0,0,0,0,0,0
2010,1,3,75.1,65.5,3.9,1.5,0,0,0,0,0,0,0
2010,1,3,71.2,58.2,2.5,1.6,0,0,0,0,0,0,0
2010,1,3,69.4,56.5,3.9,1.5,0,0,0,0,0,0,0
2010,1,3,72.1,54.8,4.3,1.8,0,0,0,0,0,0,0
2010,1,3,80.6,66.9,2.5,5,0,0,0,0,0,0,0
2010,1,3,51.6,51.2,0.7,0.8,0.08,1,1,0,0,0,0
2010,1,3,58.3,53.1,0.9,1.9,0.04,1,1,0,0,0,0
2010,1,3,68.7,52.2,2.3,1.4,0.01,1,0,0,0,0,0
2010,1,3,53.3,48.6,1.2,3.7,0,1,0,0,0,0,0
2010,1,3,60.8,52.6,1.1,3.8,0,0,0,0,0,0,0
2010,1,3,67.4,51.4,2.7,2.6,0,0,0,0,0,0,0
2010,1,3,69,59,2.2,7.2,0.04,0,1,0,0,0,0
2010,1,4,64.8,50.4,2.2,0.5,0.08,0,0,0,0,0,0
2010,1,4,67.6,58.3,4.3,3.2,0,0,0,0,0,0,0
2010,1,4,53.2,50.2,0.9,0.5,0,1,0,0,0,0,0
2010,1,4,63.5,52.8,2.5,0.7,0,0,0,0,0,0,0
2010,1,4,63.6,47.2,2.5,2.5,0,0,0,0,0,0,0
2010,1,4,51.1,50.2,0.6,3.6,0.28,1,0,0,0,0,0
2010,1,4,51.6,49.1,0.5,2.3,0.31,1,0,0,0,0,0
2010,1,4,61.5,49.2,2.1,2.1,0,1,0,0,0,0,0
2010,1,4,67.7,47.5,2.3,0.7,0,0,0,0,0,0,0
2010,1,4,62.5,45.7,1,1,0,0,0,0,0,0,0
2010,1,4,52.5,49.4,0.6,8.3,0,0,0,0,0,0,0
2010,1,4,60,50,1.9,2,0,0,0,0,0,0,0
2010,1,4,61.2,49.9,2.5,1.7,0,0,0,0,0,0,0
2010,1,4,49.9,49,0.3,1.1,0.35,1,0,0,0,0,0
